Cloudlet ID,User ID,Status,Data Center ID,Submission Time,Start Time,Finish Time,Cloudlet Length,Processing Cost,File Size,CPU Utilization,RAM Utilization,BW Utilization,Waiting Time
160,5,SUCCESS,3,0.03,73.55,75.27,1722,142.89,439,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,73.52
145,5,SUCCESS,2,0.03,62.32,75.57,13250,110.88,424,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,62.29
151,5,SUCCESS,2,0.03,71.16,75.6,4449,134.56,890,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,71.13
78,5,SUCCESS,2,0.03,68.02,76.92,8906,66.96,330,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,67.99
65,5,SUCCESS,3,0.03,59.76,78.75,18995,76.56,342,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,59.73
163,5,SUCCESS,2,0.03,75.6,79.22,3617,118.16,513,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,75.57
77,5,SUCCESS,3,0.03,66.39,80.84,14445,117.15,762,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,66.36
84,5,SUCCESS,2,0.03,76.92,81.18,4256,151.76,966,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,76.89
142,5,SUCCESS,3,0.03,72.4,82.13,9731,96.69,565,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,72.37
72,5,SUCCESS,2,0.03,63.46,82.15,18692,101.36,387,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,63.43
218,5,SUCCESS,3,0.03,64.5,82.81,18312,140.8,732,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,64.47
201,5,SUCCESS,3,0.03,74.99,83.55,8560,160.6,800,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,74.96
230,5,SUCCESS,3,0.03,70.89,87.38,16486,154.88,981,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,70.86
108,5,SUCCESS,2,0.03,82.15,88.12,5966,113.2,766,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,82.12
166,5,SUCCESS,3,0.03,75.27,88.48,13212,126.17,809,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,75.24
165,5,SUCCESS,3,0.03,72.06,89.14,17085,89.76,426,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,72.03
102,5,SUCCESS,2,0.03,81.18,90.26,9077,85.12,510,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,81.15
157,5,SUCCESS,2,0.03,75.57,90.62,15054,77.68,659,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,75.54
172,5,SUCCESS,3,0.03,82.13,91.62,9484,120.12,493,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,82.1
126,5,SUCCESS,2,0.03,90.26,93.14,2885,63.36,460,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,90.23
178,5,SUCCESS,3,0.03,88.48,93.58,5097,165.33,679,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,88.45
83,5,SUCCESS,3,0.03,78.75,94.7,15950,113.63,671,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,78.72
95,5,SUCCESS,3,0.03,80.84,97.13,16288,138.82,661,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,80.81
175,5,SUCCESS,2,0.03,79.22,97.59,18364,116.8,865,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,79.19
101,5,SUCCESS,3,0.03,94.7,97.64,2936,155.76,621,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,94.67
120,5,SUCCESS,2,0.03,88.12,98.98,10859,97.76,866,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,88.09
248,5,SUCCESS,3,0.03,82.81,99.2,16392,130.9,711,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,82.78
181,5,SUCCESS,2,0.03,90.62,99.34,8723,90.4,619,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,90.59
190,5,SUCCESS,3,0.03,93.58,100.5,6923,128.37,534,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,93.55
207,5,SUCCESS,3,0.03,83.55,101.38,17831,90.75,413,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,83.52
184,5,SUCCESS,3,0.03,91.62,101.98,10365,97.9,381,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,91.59
217,5,SUCCESS,2,0.03,99.34,102.77,3430,89.12,529,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,99.31
260,5,SUCCESS,3,0.03,87.38,102.77,15399,173.91,903,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,87.34
131,5,SUCCESS,3,0.03,97.64,103.04,5394,201.74,961,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,97.61
272,5,SUCCESS,3,0.03,99.2,103.55,4343,158.62,580,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,99.17
211,5,SUCCESS,2,0.03,97.59,104.55,6964,97.44,516,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,97.56
223,5,SUCCESS,2,0.03,102.77,104.93,2161,99.84,442,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,102.74
231,5,SUCCESS,3,0.03,89.14,105.33,16188,153.01,455,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,89.11
278,5,SUCCESS,3,0.03,102.77,106.63,3856,118.03,618,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,102.74
143,5,SUCCESS,3,0.03,103.04,106.65,3606,130.9,452,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,103.01
107,5,SUCCESS,3,0.03,97.13,108.02,10896,188.98,909,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,97.1
261,5,SUCCESS,3,0.03,105.33,108.48,3151,131.78,365,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,105.3
235,5,SUCCESS,2,0.03,104.55,108.68,4132,114.48,653,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,104.52
208,5,SUCCESS,3,0.03,101.98,108.97,6989,109.34,427,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,101.95
255,5,SUCCESS,3,0.03,101.38,109.3,7918,158.07,609,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,101.35
253,5,SUCCESS,2,0.03,104.93,109.79,4858,112.56,496,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,104.9
155,5,SUCCESS,3,0.03,106.65,110.37,3718,119.68,527,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,106.62
