Cloudlet ID,User ID,Status,Data Center ID,Submission Time,Start Time,Finish Time,Cloudlet Length,Processing Cost,File Size,CPU Utilization,RAM Utilization,BW Utilization,Waiting Time
127,3,SUCCESS,2,0.01,89.37,99.49,10115,156.7,825,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,89.36
92,3,SUCCESS,2,0.01,85.39,100.78,15397,94.7,520,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,85.38
121,3,SUCCESS,2,0.01,90.6,101.87,11266,74.1,383,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,90.59
109,3,SUCCESS,2,0.01,86.33,103.29,16954,104.5,505,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,86.32
131,3,SUCCESS,2,0.01,90.65,104.2,13544,113.7,492,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,90.64
114,3,SUCCESS,2,0.01,86.1,104.22,18107,162.1,626,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,86.09
122,3,SUCCESS,2,0.01,88.51,104.61,16101,134,496,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,88.5
96,3,SUCCESS,2,0.01,95.83,104.78,8954,100.2,327,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,95.82
143,3,SUCCESS,2,0.01,99.49,105.97,6479,141.9,735,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,99.48
129,3,SUCCESS,2,0.01,103.29,109.22,5935,161.8,923,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,103.28
155,3,SUCCESS,2,0.01,105.97,109.87,3906,99,354,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,105.96
100,3,SUCCESS,2,0.01,100.78,110.13,9341,108.8,344,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,100.77
163,3,SUCCESS,2,0.01,109.87,112.57,2695,164.7,824,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,109.86
183,3,SUCCESS,2,0.01,112.57,116.07,3503,177.8,884,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,112.56
124,3,SUCCESS,2,0.01,110.13,116.09,5951,115,455,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,110.12
125,3,SUCCESS,2,0.01,101.87,116.32,14448,125.9,459,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,101.86
151,3,SUCCESS,2,0.01,104.2,117.02,12822,125.2,473,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,104.19
120,3,SUCCESS,2,0.01,104.78,117.1,12320,110.4,682,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,104.77
134,3,SUCCESS,2,0.01,104.22,117.67,13447,83.8,473,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,104.21
133,3,SUCCESS,2,0.01,109.22,120.12,10893,113.8,604,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,109.21
168,3,SUCCESS,2,0.01,117.1,123.12,6015,132.5,475,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,117.09
138,3,SUCCESS,2,0.01,104.61,123.99,19376,80.8,317,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,104.6
142,3,SUCCESS,2,0.01,117.67,124.3,6631,187.1,907,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,117.66
164,3,SUCCESS,2,0.01,116.09,126.99,10900,129.1,822,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,116.08
211,3,SUCCESS,2,0.01,117.02,127.43,10406,151.4,941,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,117.01
161,3,SUCCESS,2,0.01,120.12,127.9,7786,132.5,983,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,120.11
172,3,SUCCESS,2,0.01,123.12,129.15,6034,134.4,967,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,123.11
146,3,SUCCESS,2,0.01,123.99,129.32,5329,83,312,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,123.98
215,3,SUCCESS,2,0.01,127.43,129.89,2467,169.5,859,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,127.42
191,3,SUCCESS,2,0.01,116.07,131.52,15448,181.6,979,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,116.06
